Distribution of hits for query "([pos="CARD"][lemma=".*schüler|.*schülerin|Knabe|Mädchen|Tochter|Kind|Schüler|Schülerin|Bube"])|([lemma=".*schüler|.*schülerin|Knabe|Mädchen|Tochter|- Kind|Schüler|Schülerin|Bube"][pos= "CARD"])" returned 7,985 matches in 1,874 different texts
__________________

Text	No. words in text	No. hits in text	Freq. per million words
apm_001_1840_016_137_144_e290	2411	1	414.77
apm_001_1840_016_155_160_e302	2007	1	498.26
apm_001_1840_016_16_22_e29	2069	8	3866.6
apm_001_1840_016_192_196_e315	1571	1	636.54
apm_001_1840_016_197_200_e318	1037	1	964.32
apm_001_1840_016_69_80_e248	4289	1	233.15
apm_001_1840_016_9_10_e15	283	1	3533.57
apm_001_1841_017_109_129_e284	6468	1	154.61
apm_001_1841_017_26_33_e45	1434	1	697.35
apm_001_1842_018_125_139_e322	4205	1	237.81
apm_001_1842_018_141_149_e327	2621	1	381.53
apm_001_1842_018_180_184_e348	1241	3	2417.41
apm_001_1842_018_185_190_e351	1495	2	1337.79
apm_001_1842_018_190_200_e353	3602	3	832.87
apm_001_1842_018_39_43_e78	1311	1	762.78
apm_001_1842_018_87_93_e291	2043	1	489.48
apm_001_1843_019_11_15_e18	918	1	1089.32
apm_001_1843_019_73_82_e312	1807	1	553.4
apm_001_1843_019_86_129_e315	6349	123	19373.13
apm_001_1844_020_184_190_e342	2572	1	388.8
apm_001_1844_020_190_205_e345	5181	2	386.03
apm_001_1844_020_34_38_e359	1322	3	2269.29
apm_001_1844_020_7_19_e225	4443	1	225.07
apm_001_1847_023_126_129_e349	1523	1	656.6
apm_001_1847_023_141_144_e358	1495	1	668.9
apm_001_1847_023_149_152_e364	1065	1	938.97
apm_001_1847_023_23_24_e280	463	1	2159.83
apm_001_1847_023_35_36_e292	192	2	10416.67
apm_001_1847_023_9_16_e269	2333	2	857.27
apm_001_1848_024_49_58_e160	1865	2	1072.39
ass_001_1835_001_131_138_e277	1916	1	521.92
ass_001_1835_001_209_223_e280	5127	2	390.09
ass_001_1835_001_64_96_e242	10339	2	193.44
ass_001_1835_001_7_64_e237	17857	4	224
ass_001_1836_002_118_124_e722	2265	1	441.5
ass_001_1836_002_156_197_e604	15538	10	643.58
ass_001_1836_002_246_261_e672	4913	1	203.54
ass_001_1836_002_298_336_e746	15564	3	192.75
ass_001_1836_002_365_378_e628	3776	2	529.66
ass_001_1836_002_412_425_e753	4396	2	454.96
ass_001_1836_002_442_463_e709	6082	1	164.42
ass_001_1836_002_491_543_e637	17092	1	58.51
ass_001_1836_002_543_559_e754	4229	1	236.46
ass_001_1837_003_123_126_e934	1389	1	719.94
ass_001_1837_003_126_129_e935	1804	1	554.32
ass_001_1837_003_130_143_e936	6322	6	949.07
ass_001_1837_003_179_193_e991	6881	1	145.33
ass_001_1837_003_193_194_e940	483	1	2070.39
ass_001_1837_003_194_198_e941	1822	3	1646.54
ass_001_1837_003_198_199_e942	700	1	1428.57
ass_001_1837_003_200_233_e651	12010	4	333.06
ass_001_1837_003_260_267_e992	3102	6	1934.24
ass_001_1837_003_267_273_e953	3356	1	297.97
ass_001_1837_003_274_283_e954	3231	2	619
ass_001_1837_003_306_315_e681	3535	1	282.89
ass_001_1837_003_315_321_e684	2312	1	432.53
ass_001_1837_003_321_329_e687	3043	1	328.62
ass_001_1837_003_341_359_e997	8768	3	342.15
ass_001_1837_003_35_37_e918	1243	3	2413.52
ass_001_1837_003_360_373_e998	5315	6	1128.88
ass_001_1837_003_375_386_e965	4693	1	213.08
ass_001_1837_003_43_45_e922	598	1	1672.24
ass_001_1837_003_45_47_e924	782	9	11508.95
ass_001_1837_003_465_474_e973	3836	2	521.38
ass_001_1837_003_481_486_e975	2612	3	1148.55
ass_001_1837_003_513_529_e745	5999	2	333.39
ass_001_1837_003_53_64_e624	4112	2	486.38
ass_001_1837_003_574_579_e986	2456	1	407.17
ass_001_1837_003_69_71_e927	967	1	1034.13
ass_001_1838_004_149_154_e795	2331	1	429
ass_001_1838_004_164_177_e797	7115	2	281.1
ass_001_1838_004_28_39_e595	4467	1	223.86
ass_001_1838_004_352_357_e699	1855	1	539.08
ass_001_1838_004_374_386_e812	6546	1	152.77
ass_001_1838_004_454_462_e721	2941	1	340.02
ass_001_1838_004_471_481_e820	4650	1	215.05
ass_001_1838_004_481_481_e821	249	5	20080.32
ass_001_1838_004_49_54_e786	2358	1	424.09
ass_001_1838_004_519_531_e753	5031	1	198.77
ass_001_1838_004_74_81_e837	3503	14	3996.57
ass_001_1838_004_81_86_e789	2196	6	2732.24
ass_001_1838_004_92_96_e792	2022	1	494.56
ass_001_1839_005_121_142_e428	9340	2	214.13
ass_001_1839_005_151_157_e498	2205	5	2267.57
ass_001_1839_005_160_183_e500	10889	4	367.34
ass_001_1839_005_260_271_e506	3709	2	539.23
ass_001_1839_005_271_273_e507	650	1	1538.46
ass_001_1839_005_314_321_e514	2491	1	401.45
ass_001_1839_005_332_342_e520	4048	3	741.11
ass_001_1839_005_357_361_e549	1787	6	3357.58
ass_001_1839_005_74_78_e495	1840	1	543.48
ass_001_1840_006_106_110_e942	1538	2	1300.39
ass_001_1840_006_163_170_e631	2506	4	1596.17
ass_001_1840_006_170_181_e634	4230	7	1654.85
ass_001_1840_006_187_188_e643	590	7	11864.41
ass_001_1840_006_248_250_e890	1046	1	956.02
ass_001_1840_006_253_264_e686	4220	3	710.9
ass_001_1840_006_264_274_e943	4161	3	720.98
ass_001_1840_006_285_286_e704	462	1	2164.5
ass_001_1840_006_288_303_e707	5515	2	362.65
ass_001_1840_006_349_358_e739	3616	22	6084.07
ass_001_1840_006_358_359_e742	167	2	11976.05
ass_001_1840_006_359_366_e745	2911	6	2061.15
ass_001_1840_006_372_379_e751	2272	1	440.14
ass_001_1840_006_44_57_e856	5301	5	943.22
ass_001_1840_006_454_476_e805	8773	3	341.96
ass_001_1840_006_550_558_e846	3386	7	2067.34
ass_001_1840_006_561_565_e850	1526	3	1965.92
ass_001_1840_006_85_94_e602	3466	4	1154.07
ass_001_1841_007_105_114_e608	3184	1	314.07
ass_001_1841_007_189_191_e645	768	2	2604.17
ass_001_1841_007_196_213_e651	6162	1	162.28
ass_001_1841_007_287_295_e663	3496	1	286.04
ass_001_1841_007_2_39_e591	13516	2	147.97
ass_001_1841_007_321_332_e677	3456	4	1157.41
ass_001_1841_007_343_350_e695	2500	8	3200
ass_001_1841_007_39_77_e593	15853	1	63.08
ass_001_1841_007_450_473_e747	8049	2	248.48
ass_001_1841_007_473_494_e750	7996	4	500.25
ass_001_1841_007_498_504_e839	2130	1	469.48
ass_001_1841_007_564_574_e783	4019	7	1741.73
ass_001_1842_008_130_134_e641	1365	1	732.6
ass_001_1842_008_134_149_e644	5120	6	1171.88
ass_001_1842_008_149_172_e647	9722	5	514.3
ass_001_1842_008_190_190_e669	327	2	6116.21
ass_001_1842_008_200_210_e677	3683	2	543.04
ass_001_1842_008_276_288_e710	5788	1	172.77
ass_001_1842_008_368_371_e737	1035	12	11594.2
ass_001_1842_008_77_79_e604	602	6	9966.78
ass_001_1842_008_90_90_e614	122	2	16393.44
ass_001_1843_009_179_181_e679	999	1	1001
ass_001_1843_009_187_201_e685	5410	2	369.69
ass_001_1843_009_269_270_e709	1033	1	968.05
ass_001_1843_009_282_286_e713	1987	3	1509.81
ass_001_1843_009_334_338_e739	1994	1	501.5
ass_001_1843_009_356_363_e757	2707	5	1847.06
ass_001_1843_009_371_376_e763	2059	1	485.67
ass_001_1843_009_415_430_e772	4773	3	628.54
ass_001_1843_009_466_468_e793	804	2	2487.56
ass_001_1843_009_487_490_e859	1445	1	692.04
ass_001_1843_009_546_559_e819	5230	8	1529.64
ass_001_1843_009_559_564_e822	1946	1	513.87
ass_001_1844_010_152_177_e534	11120	3	269.78
ass_001_1844_010_177_183_e537	2938	1	340.37
ass_001_1844_010_1_28_e497	10113	2	197.77
ass_001_1844_010_254_271_e578	6220	1	160.77
ass_001_1844_010_272_293_e581	9696	9	928.22
ass_001_1844_010_317_325_e586	3186	1	313.87
ass_001_1844_010_326_332_e589	2503	1	399.52
ass_001_1844_010_351_351_e618	293	1	3412.97
ass_001_1844_010_352_361_e619	4267	1	234.36
ass_001_1844_010_373_376_e639	1607	1	622.28
ass_001_1844_010_384_386_e658	1105	1	904.98
ass_001_1844_010_436_441_e683	1880	1	531.91
ass_001_1844_010_441_443_e684	951	1	1051.52
ass_001_1844_010_448_460_e690	5519	10	1811.92
ass_001_1844_010_465_473_e700	3120	5	1602.56
ass_001_1844_010_75_98_e516	9092	42	4619.45
ass_001_1845_011_114_117_e711	1277	2	1566.17
ass_001_1845_011_187_196_e731	3726	1	268.38
ass_001_1845_011_291_294_e775	1170	1	854.7
ass_001_1845_011_294_294_e789	145	1	6896.55
ass_001_1845_011_360_367_e911	2377	5	2103.49
ass_001_1845_011_393_398_e806	1857	1	538.5
ass_001_1845_011_400_407_e812	2838	10	3523.61
ass_001_1845_011_425_432_e838	2724	3	1101.32
ass_001_1845_011_432_433_e841	447	1	2237.14
ass_001_1845_011_606_614_e923	3015	1	331.67
ass_001_1845_011_67_70_e904	1760	1	568.18
ass_001_1845_011_76_95_e692	7228	2	276.7
bmb_001_1850_001_100_102_e282	1443	1	693
bmb_001_1850_001_107_117_e285	4152	1	240.85
bmb_001_1850_001_119_122_e289	1320	1	757.58
bmb_001_1850_001_125_132_e294	2200	1	454.55
bmb_001_1850_001_143_149_e308	2318	1	431.41
bmb_001_1850_001_155_158_e322	1931	2	1035.73
bmb_001_1850_001_159_166_e324	2192	1	456.2
bmb_001_1850_001_180_182_e335	1391	1	718.91
bmb_001_1850_001_39_46_e241	2648	2	755.29
bmb_001_1850_001_73_73_e259	331	1	3021.15
bmb_001_1850_001_77_79_e264	708	3	4237.29
bmb_001_1851_002_188_191_e399	1650	1	606.06
bmb_001_1851_002_230_231_e424	781	2	2560.82
bmb_001_1851_002_251_255_e442	1709	1	585.14
bmb_001_1851_002_37_39_e300	1419	2	1409.44
bmb_001_1851_002_52_55_e316	1579	1	633.31
bmb_001_1852_003_119_120_e365	774	1	1291.99
bmb_001_1852_003_205_208_e416	790	1	1265.82
bmb_001_1852_003_20_20_e308	255	1	3921.57
bmb_001_1852_003_21_24_e310	1524	1	656.17
bmb_001_1852_003_232_239_e424	2480	1	403.23
bmb_001_1852_003_283_288_e449	1814	1	551.27
bmb_001_1852_003_36_40_e318	1813	1	551.57
bmb_001_1852_003_45_50_e323	1801	13	7218.21
bmb_001_1853_004_19_23_e286	1591	3	1885.61
bmb_001_1853_004_229_231_e400	933	2	2143.62
bmb_001_1853_004_63_71_e313	3716	1	269.11
bmb_001_1854_005_100_102_e317	863	2	2317.5
bmb_001_1854_005_170_176_e355	3164	1	316.06
bmb_001_1854_005_177_187_e358	3435	1	291.12
bmb_001_1854_005_195_204_e373	3131	1	319.39
bmb_001_1854_005_225_226_e387	474	2	4219.41
bmb_001_1854_005_22_24_e272	1096	1	912.41
bmb_001_1854_005_37_40_e284	1471	1	679.81
bmb_001_1854_005_41_57_e287	5597	1	178.67
bmb_001_1854_005_57_61_e289	1523	1	656.6
bmb_001_1855_006_108_112_e305	1724	1	580.05
bmb_001_1855_006_147_152_e330	2421	3	1239.16
bmb_001_1855_006_166_168_e340	1050	1	952.38
bmb_001_1855_006_198_200_e364	944	2	2118.64
bmb_001_1855_006_20_24_e256	2033	1	491.88
bmb_001_1855_006_35_40_e263	2239	2	893.26
bmb_001_1855_006_60_64_e274	1836	2	1089.32
bmb_001_1856_007_100_104_e344	2125	1	470.59
bmb_001_1856_007_133_136_e377	1684	1	593.82
bmb_001_1856_007_212_216_e420	1878	1	532.48
bmb_001_1856_007_34_36_e303	666	3	4504.5
bmb_001_1856_007_42_56_e314	7014	1	142.57
bmb_001_1856_007_59_64_e319	1856	1	538.79
bmb_001_1856_007_69_72_e333	1349	1	741.29
bmb_001_1857_008_166_168_e352	733	1	1364.26
bmb_001_1857_008_214_216_e385	948	4	4219.41
bmb_001_1857_008_254_256_e413	1005	1	995.02
bmb_001_1857_008_53_56_e283	1600	1	625
bmb_001_1858_009_128_139_e302	3587	1	278.78
bmb_001_1858_009_168_183_e322	5566	1	179.66
bmb_001_1858_009_192_207_e331	5262	1	190.04
bmb_001_1858_009_72_78_e274	2034	6	2949.85
bmb_001_1858_009_78_81_e276	1055	1	947.87
bmb_001_1858_009_81_87_e279	2826	1	353.86
bmb_001_1858_009_8_14_e254	2048	2	976.56
