Distribution of hits for query "[word =".*statist.*"%c]" returned 3,215 matches in 949 different texts
__________________

Text	No. words in text	No. hits in text	Freq. per million words
bmb_001_1860_011_143_146_e320	1314	2	1522.07
bmb_001_1860_011_166_170_e332	1468	1	681.2
bmb_001_1860_011_170_171_e335	286	1	3496.5
bmb_001_1860_011_4_5_e235	272	1	3676.47
bmb_001_1860_011_59_60_e269	789	1	1267.43
bmb_001_1860_011_74_77_e279	1309	2	1527.88
bmb_001_1861_012_138_143_e340	1990	2	1005.03
bmb_001_1861_012_159_160_e361	1004	2	1992.03
bmb_001_1861_012_197_200_e391	836	1	1196.17
bmb_001_1861_012_208_210_e399	774	2	2583.98
bmb_001_1861_012_28_30_e243	1021	3	2938.3
bmb_001_1861_012_49_52_e259	1414	5	3536.07
bmb_001_1862_013_11_14_e208	1289	2	1551.59
bmb_001_1862_013_162_164_e379	910	1	1098.9
bmb_001_1862_013_181_191_e396	5227	5	956.57
bmb_001_1862_013_20_20_e221	312	2	6410.26
bmb_001_1862_013_30_32_e229	582	1	1718.21
bmb_001_1862_013_33_34_e234	467	3	6423.98
bmb_001_1862_013_46_49_e245	1355	4	2952.03
bmb_001_1862_013_53_59_e253	2887	1	346.38
bmb_001_1862_013_59_63_e255	1834	1	545.26
bmb_001_1863_014_107_115_e295	3879	1	257.8
bmb_001_1863_014_17_17_e222	232	1	4310.34
bmb_001_1863_014_42_48_e244	2148	1	465.55
bmb_001_1863_014_69_74_e275	1980	5	2525.25
bmb_001_1863_014_74_88_e277	6239	3	480.85
bmb_001_1863_014_91_100_e284	4437	1	225.38
bmb_001_1864_015_137_148_e300	4009	5	1247.19
bmb_001_1864_015_50_52_e245	1212	1	825.08
bmb_001_1865_016_147_147_e329	540	1	1851.85
bmb_001_1865_016_162_162_e343	232	2	8620.69
bmb_001_1865_016_180_185_e365	2299	1	434.97
bmb_001_1865_016_190_192_e371	645	1	1550.39
bmb_001_1865_016_193_194_e377	616	1	1623.38
bmb_001_1865_016_45_48_e243	1167	2	1713.8
bmb_001_1865_016_50_50_e248	233	1	4291.85
bmb_001_1865_016_78_80_e279	472	7	14830.51
bmb_001_1865_016_83_83_e287	397	1	2518.89
bmb_001_1866_017_104_108_e301	2079	4	1924
bmb_001_1866_017_137_138_e331	616	1	1623.38
bmb_001_1866_017_139_143_e333	2125	4	1882.35
bmb_001_1866_017_173_176_e357	1309	5	3819.71
bmb_001_1866_017_184_189_e372	1981	2	1009.59
bmb_001_1866_017_189_190_e375	415	1	2409.64
bmb_001_1866_017_28_32_e219	1388	2	1440.92
bmb_001_1866_017_69_77_e267	3694	2	541.42
bmb_001_1866_017_95_96_e285	772	1	1295.34
bmb_001_1867_018_139_143_e258	1906	1	524.66
bmb_001_1867_018_144_146_e312	849	1	1177.86
bmb_001_1867_018_159_162_e313	1388	2	1440.92
bmb_001_1867_018_179_185_e282	2755	2	725.95
bmb_001_1867_018_188_189_e289	355	3	8450.7
bmb_001_1867_018_189_193_e318	1542	1	648.51
bmb_001_1867_018_28_34_e208	1985	1	503.78
bmb_001_1867_018_44_50_e217	2992	1	334.22
bmb_001_1867_018_55_58_e220	902	1	1108.65
bmb_001_1867_018_67_79_e229	5236	1	190.99
bmb_001_1867_018_83_91_e232	3494	1	286.2
bmb_001_1867_018_9_18_e203	4084	1	244.86
bmb_001_1868_019_106_109_e261	12	1	83333.33
bmb_001_1868_019_114_115_e267	462	1	2164.5
bmb_001_1868_019_116_122_e270	1689	1	592.07
bmb_001_1868_019_143_146_e284	1304	5	3834.36
bmb_001_1868_019_160_162_e293	1189	1	841.04
bmb_001_1868_019_189_191_e310	7	1	142857.14
bmb_001_1868_019_31_32_e217	4	1	250000
bmb_001_1868_019_44_48_e224	1587	2	1260.24
bmb_001_1868_019_84_90_e251	1458	2	1371.74
bmb_001_1869_020_103_106_e251	1496	1	668.45
bmb_001_1869_020_106_110_e253	1609	3	1864.51
bmb_001_1869_020_28_31_e196	1016	1	984.25
bmb_001_1870_020_119_120_e298	980	1	1020.41
bmb_001_1870_020_136_136_e305	747	1	1338.69
bmb_001_1870_020_137_139_e306	796	1	1256.28
bmb_001_1870_020_155_161_e321	3111	1	321.44
bmb_001_1870_020_40_40_e239	362	4	11049.72
bsf_001_1861_001_47_49_e30	756	1	1322.75
bsf_001_1861_001_95_97_e59	675	1	1481.48
bsf_001_1862_002_39_43_e29	1835	1	544.96
bsf_001_1862_002_62_63_e44	634	1	1577.29
bsf_001_1863_003_106_107_e71	550	2	3636.36
bsf_001_1863_003_126_127_e85	394	2	5076.14
bsf_001_1863_003_144_145_e96	349	2	5730.66
bsf_001_1863_003_174_174_e114	300	2	6666.67
bsf_001_1863_003_186_188_e123	715	2	2797.2
bsf_001_1863_003_188_192_e124	1474	3	2035.28
bsf_001_1863_003_204_205_e135	394	2	5076.14
bsf_001_1863_003_269_271_e176	493	2	4056.8
bsf_001_1863_003_289_289_e192	73	1	13698.63
bsf_001_1863_003_297_304_e200	2537	3	1182.5
bsf_001_1863_003_63_64_e42	250	2	8000
bsf_001_1863_003_76_77_e50	333	2	6006.01
bsf_001_1864_004_111_113_e72	775	1	1290.32
bsf_001_1864_004_341_345_e213	2010	1	497.51
bsf_001_1864_004_366_367_e223	380	1	2631.58
bsf_001_1865_005_297_298_e168	373	1	2680.97
bsf_001_1865_005_334_337_e193	1140	1	877.19
bsf_001_1865_005_368_369_e207	499	1	2004.01
bsf_001_1865_005_45_48_e26	1153	1	867.3
bsf_001_1866_006_183_189_e96	1912	1	523.01
bsf_001_1866_006_248_252_e131	1226	2	1631.32
bsf_001_1866_006_317_320_e165	1447	1	691.09
bsf_001_1866_006_61_64_e35	1111	1	900.09
bsf_001_1867_007_305_312_e177	3347	1	298.78
bsf_001_1867_007_348_349_e200	6	1	166666.67
bso_001_1858_001_13_16_e6	5032	1	198.73
bso_001_1858_001_145_150_e39	7396	1	135.21
bso_001_1859_002_77_80_e22	5033	2	397.38
bso_001_1860_003_121_124_e33	4905	1	203.87
bso_001_1860_003_45_48_e14	4629	1	216.03
bso_001_1860_003_53_56_e16	5124	3	585.48
bso_001_1860_003_5_8_e4	4832	3	620.86
bso_001_1860_003_61_64_e18	4503	1	222.07
bso_001_1860_003_65_68_e19	4710	1	212.31
bso_001_1860_003_69_72_e20	4940	1	202.43
bso_001_1860_003_89_92_e25	5056	5	988.92
bso_001_1861_004_77_80_e22	4240	1	235.85
bso_001_1862_005_175_178_e47	4643	1	215.38
bso_001_1862_005_187_190_e50	4262	1	234.63
bso_001_1862_005_5_8_e4	4729	1	211.46
bso_001_1862_005_85_88_e24	4531	1	220.7
bso_001_1863_006_101_104_e28	4250	1	235.29
bso_001_1863_006_137_140_e37	4219	3	711.07
bso_001_1863_006_141_144_e38	4083	3	734.75
bso_001_1863_006_145_148_e39	4072	1	245.58
bso_001_1863_006_149_152_e40	3946	4	1013.68
bso_001_1863_006_153_156_e41	3908	7	1791.2
bso_001_1863_006_161_164_e43	4188	1	238.78
bso_001_1863_006_205_208_e54	4008	3	748.5
bso_001_1863_006_45_48_e14	4141	1	241.49
bso_001_1864_007_101_104_e28	4417	1	226.4
bso_001_1864_007_141_144_e38	4182	1	239.12
bso_001_1864_007_201_204_e54	4256	1	234.96
bso_001_1864_007_25_28_e9	4417	1	226.4
bso_001_1864_007_5_8_e4	3806	2	525.49
bso_001_1864_007_93_96_e26	4363	1	229.2
bso_001_1864_007_9_12_e5	4323	3	693.96
bso_001_1865_008_137_140_e37	4529	1	220.8
bso_001_1865_008_17_20_e7	4067	1	245.88
bso_001_1865_008_195_198_e52	4190	2	477.33
bso_001_1865_008_199_202_e53	4168	2	479.85
bso_001_1865_008_1_4_e3	3763	1	265.75
bso_001_1865_008_203_206_e54	3626	1	275.79
bso_001_1865_008_57_60_e17	4336	4	922.51
bso_001_1866_009_155_158_e41	4334	1	230.73
bso_001_1866_009_25_28_e9	4300	1	232.56
bso_001_1866_009_71_74_e20	4296	1	232.77
bso_001_1867_010_101_104_e28	4020	16	3980.1
bso_001_1867_010_105_108_e29	4107	3	730.46
bso_001_1867_010_117_120_e32	4097	1	244.08
bso_001_1867_010_137_140_e37	3839	1	260.48
bso_001_1867_010_141_144_e38	3624	1	275.94
bso_001_1867_010_161_164_e43	3809	1	262.54
bso_001_1867_010_173_176_e46	4123	1	242.54
bso_001_1867_010_193_196_e51	4122	1	242.6
bso_001_1867_010_197_200_e52	3997	1	250.19
bso_001_1867_010_201_204_e53	4036	1	247.77
bso_001_1867_010_5_8_e4	3922	1	254.97
bso_001_1867_010_73_76_e21	4062	1	246.18
bso_001_1867_010_85_88_e24	4305	1	232.29
bso_002_1868_001_103_106_e27	3715	1	269.18
bso_002_1868_001_125_128_e32	4615	1	216.68
bso_002_1868_001_169_172_e43	3913	1	255.56
bso_002_1868_001_181_184_e46	3995	3	750.94
bso_002_1868_001_185_188_e47	4149	2	482.04
bso_002_1868_001_29_32_e10	4410	1	226.76
bso_002_1868_001_37_40_e12	4055	1	246.61
bso_002_1869_002_165_168_e44	4381	1	228.26
bso_002_1869_002_169_172_e45	4595	1	217.63
bso_002_1869_002_185_188_e49	4304	2	464.68
bso_002_1869_002_57_60_e17	4143	1	241.37
bso_002_1869_002_5_8_e4	4549	1	219.83
bso_002_1869_002_73_76_e21	4474	1	223.51
bso_002_1870_003_113_116_e32	3984	2	502.01
bso_002_1870_003_133_136_e37	4220	1	236.97
bso_002_1870_003_165_168_e45	4441	1	225.17
bso_002_1870_003_177_182_e47	6620	3	453.17
bso_002_1870_003_191_194_e50	4493	1	222.57
bso_002_1870_003_29_32_e13	4086	1	244.74
bso_002_1870_003_37_40_e15	4377	2	456.93
bso_002_1870_003_5_8_e7	4441	1	225.17
bso_002_1870_003_61_64_e21	4802	1	208.25
bso_002_1870_003_65_70_e22	6601	1	151.49
bso_002_1870_003_97_100_e28	4290	2	466.2
btb_001_1852_001_187_201_e243	10256	1	97.5
btb_001_1853_002_199_330_e353	98355	14	142.34
btb_001_1855_004_106_120_e315	9645	1	103.68
btb_001_1856_005_104_141_e300	27460	1	36.42
btb_001_1857_006_202_226_e324	12774	1	78.28
btb_001_1859_008_10_51_e296	25930	1	38.57
btb_001_1859_008_227_240_e302	7655	1	130.63
btb_001_1862_011_301_328_e369	12972	1	77.09
btb_001_1865_014_278_328_e360	23541	2	84.96
btb_001_1868_017_397_419_e435	16055	2	124.57
btb_001_1870_019_250_292_e408	23114	2	86.53
btb_001_1870_019_344_379_e412	23487	2	85.15
dns_002_1805_001_572_578_e697	1828	1	547.05
dns_002_1806_002_142_156_e596	4369	1	228.89
dns_002_1806_002_91_97_e587	1761	2	1135.72
dns_002_1808_004_158_197_e437	10592	1	94.41
dns_002_1808_004_274_282_e449	2004	2	998
dns_002_1808_004_355_361_e464	1623	1	616.14
dns_002_1812_007_339_374_e484	9874	1	101.28
dns_002_1812_007_5_30_e443	6975	1	143.37
dsr_003_1800_003_109_112_e733	2947	1	339.33
dsr_003_1801_004_641_645_e1763	3326	1	300.66
gdv_001_1839_009_7_170_e183	30216	1	33.1
gdv_001_1850_005_9_446_e13	37809	1	26.45
gdv_001_1854_009_6_202_e10	31926	3	93.97
gdv_001_1856_011_7_167_e11	33911	4	117.96
gdv_001_1865_004_9_562_e13	127150	3	23.59
gdv_001_1869_008_8_473_e482	66612	1	15.01
sbo_001_1832_000_118_127_e575	2942	1	339.9
sbo_001_1832_000_156_161_e590	1510	1	662.25
sbo_001_1832_000_205_209_e613	1587	1	630.12
sbo_001_1832_000_38_50_e502	3891	1	257
skb_001_1814_000_488_499_e731	3783	1	264.34
skb_001_1831_000_216_253_e304	8909	1	112.25
skb_001_1833_000_176_201_e423	7043	2	283.97
skb_001_1833_000_241_270_e433	7349	1	136.07
skb_001_1833_000_270_302_e434	7098	1	140.88
skb_001_1833_000_303_328_e437	5905	1	169.35
skb_002_1838_000_14_69_e266	14033	1	71.26
skb_002_1838_000_210_238_e273	7299	1	137.01
skb_002_1838_000_69_106_e267	9245	1	108.17
skb_002_1839_000_183_230_e316	12952	4	308.83
skb_002_1839_000_21_86_e313	16978	3	176.7
skb_002_1839_000_87_139_e314	12950	2	154.44
skb_002_1840_000_151_194_e560	11196	4	357.27
