Query “[word=".*tabell.*"%c]” returned 4,833 matches in 1,054 different texts (in 74,096,351 words [13,306 texts]; frequency: 65.23 instances per million words).

Showing frequency breakdown of words in this query, at the query node; there are 458 different types and 4,833 tokens at this concordance position.  [0.018 seconds - retrieved from cache]

__________________

No.	Search result	No. of occurrences	Percent
306	Spezialtabelle	1	0.02
307	Sprachlauttabelle	1	0.02
308	Sprachtabellcnwerk	1	0.02
309	Sprachtabellenwcrk	1	0.02
310	Srcrblichkcitstabelle	1	0.02
311	Stabell-	1	0.02
312	stabellcn	1	0.02
313	Stabelle	1	0.02
314	Stcrblichkeitstabelle	1	0.02
315	Stcuertabellcn	1	0.02
316	Sterb-Tabelle	1	0.02
317	Sterbetabelleu	1	0.02
318	Sterblichkeits-Tabelle	1	0.02
319	Sterblickkeitstabellen	1	0.02
320	Straftabellen	1	0.02
321	Straßburger-Tabellen	1	0.02
322	Straßburgertabellen	1	0.02
323	strengtabellarischen	1	0.02
324	Strichtabellen	1	0.02
325	Stundentabellen	1	0.02
326	Subscriptionstabellen	1	0.02
327	Supplementtabelle	1	0.02
328	Svecialtabelle	1	0.02
329	Svezialtabelle	1	0.02
330	Svitaltabellen	1	0.02
331	Syllabir-Tabellc	1	0.02
332	Synonymentabellen	1	0.02
333	tabell	1	0.02
334	Tabell-m	1	0.02
335	tabella	1	0.02
336	tabella-	1	0.02
337	tabellarifchcn	1	0.02
338	tabellarischeHZu-	1	0.02
339	tabellarlns	1	0.02
340	Tabellarmethode	1	0.02
341	tabellas	1	0.02
342	Tabellcnform	1	0.02
343	Tabellcnführcn	1	0.02
344	Tabellcnführung	1	0.02
345	Tabellcnskelett	1	0.02
346	Tabellcnwcrk	1	0.02
347	Tabellcnwerke	1	0.02
348	Tabellcnwerken	1	0.02
349	Tabellcnwerkes	1	0.02
350	Tabellcuwcrkes	1	0.02
351	Tabelle*	1	0.02
352	Tabellemverk	1	0.02
353	Tabellemverke	1	0.02
354	Tabellen/	1	0.02
355	tabellenähnlich	1	0.02
356	Tabellenanordnung	1	0.02
357	tabellenartig	1	0.02
358	Tabellenbüchlein	1	0.02
359	Tabellencolonnen	1	0.02
360	Tabellenf	1	0.02
361	Tabellenformulare	1	0.02
362	Tabellenführung	1	0.02
363	Tabellenfüh¬	1	0.02
364	Tabellenhäufung	1	0.02
365	Tabelleninhalt	1	0.02
366	Tabellenkram	1	0.02
367	Tabellenordnung	1	0.02
368	Tabellenreihe	1	0.02
369	Tabellenreihen	1	0.02
370	Tabellensorm	1	0.02
371	Tabellensormulars	1	0.02
372	Tabellensprachbildungslehre	1	0.02
373	Tabellensystem	1	0.02
374	Tabellenwcrkc	1	0.02
375	Tabellenwcrke	1	0.02
376	Tabellenwcrkes	1	0.02
377	Tabellenwcrks	1	0.02
378	Tabellenwerk-	1	0.02
379	Tabellenwerko	1	0.02
380	TabellenwescnS	1	0.02
381	Tabellenz	1	0.02
382	Tabellenzeile	1	0.02
383	Tabellen^	1	0.02
384	Tabellen«	1	0.02
385	Tabeller	1	0.02
386	Tabelleu	1	0.02
387	Tabelleuform	1	0.02
388	Tabelleuwerke	1	0.02
389	Tabelle^	1	0.02
390	tabellirte	1	0.02
391	tabellis	1	0.02
392	Taxcntabelle	1	0.02
393	Temperaturtabelle	1	0.02
394	terrichtStabelle	1	0.02
395	Tiilfstabelle	1	0.02
396	tionstabellen	1	0.02
397	tungstabellcn	1	0.02
398	Ucbersichtstabelle	1	0.02
399	Uebcrsichtstabellen	1	0.02
400	Uebelsichtstabellen	1	0.02
401	UeberfichtStabellen	1	0.02
402	Uebersehungstabellen	1	0.02
403	Uebersichrstabelle	1	0.02
404	Uebersichstabelle	1	0.02
405	Uebersichtötabelle	1	0.02
406	Uebersichts-Tabelle	1	0.02
407	ünztabelle	1	0.02
408	Vcrfalltabellen	1	0.02
409	Vcrgleichungstabelle	1	0.02
410	Vcvöikernngstabelle	1	0.02
411	Verglcicnungstabellen	1	0.02
412	Vergleichungstabellcn	1	0.02
413	Verhaltungstabelle	1	0.02
414	Verichterstattungstabelle	1	0.02
