Distribution of hits for query "[word ="durchschnitt|durchschnittl.*"%c]" returned 4,279 matches in 1,094 different texts
__________________

Text	No. words in text	No. hits in text	Freq. per million words
bso_001_1863_006_45_48_e14	4141	1	241.49
bso_001_1863_006_57_60_e17	4013	2	498.38
bso_001_1863_006_81_84_e23	4479	1	223.26
bso_001_1863_006_89_92_e25	4236	1	236.07
bso_001_1864_007_117_120_e32	4212	1	237.42
bso_001_1864_007_13_16_e6	3988	2	501.5
bso_001_1864_007_153_156_e41	4186	1	238.89
bso_001_1864_007_179_182_e48	4337	1	230.57
bso_001_1864_007_209_212_e56	4464	1	224.01
bso_001_1864_007_25_28_e9	4417	1	226.4
bso_001_1864_007_57_60_e17	4267	2	468.71
bso_001_1864_007_73_76_e21	4259	1	234.8
bso_001_1864_007_81_84_e23	4322	3	694.12
bso_001_1865_008_121_124_e33	4666	1	214.32
bso_001_1865_008_195_198_e52	4190	3	715.99
bso_001_1865_008_199_202_e53	4168	1	239.92
bso_001_1865_008_1_4_e3	3763	3	797.24
bso_001_1865_008_37_40_e12	3922	1	254.97
bso_001_1865_008_41_44_e13	4346	2	460.19
bso_001_1865_008_61_64_e18	4353	2	459.45
bso_001_1865_008_65_68_e19	4498	1	222.32
bso_001_1866_009_103_106_e28	4185	1	238.95
bso_001_1866_009_135_138_e36	4334	1	230.73
bso_001_1866_009_163_166_e43	4219	1	237.02
bso_001_1866_009_17_20_e7	4383	2	456.31
bso_001_1866_009_185_188_e49	4045	1	247.22
bso_001_1866_009_189_192_e50	4094	1	244.26
bso_001_1866_009_205_208_e54	4295	3	698.49
bso_001_1866_009_49_54_e15	6237	1	160.33
bso_001_1866_009_55_58_e16	4199	1	238.15
bso_001_1867_010_125_128_e34	4299	1	232.61
bso_001_1867_010_13_16_e6	4129	1	242.19
bso_001_1867_010_9_12_e5	3643	2	549
bso_002_1868_001_13_16_e6	3969	1	251.95
bso_002_1868_001_193_196_e49	4155	2	481.35
bso_002_1868_001_21_24_e8	3928	5	1272.91
bso_002_1868_001_25_28_e9	4283	1	233.48
bso_002_1868_001_29_32_e10	4410	3	680.27
bso_002_1868_001_33_36_e11	3334	1	299.94
bso_002_1868_001_41_46_e13	5183	5	964.69
bso_002_1868_001_47_50_e14	4139	3	724.81
bso_002_1868_001_75_78_e21	4835	1	206.83
bso_002_1869_002_125_128_e34	4046	1	247.16
bso_002_1869_002_169_172_e45	4595	1	217.63
bso_002_1869_002_17_20_e7	4296	1	232.77
bso_002_1869_002_197_200_e52	4472	1	223.61
bso_002_1869_002_1_4_e3	4551	4	878.93
bso_002_1869_002_21_24_e8	3800	4	1052.63
bso_002_1869_002_49_52_e15	4346	2	460.19
bso_002_1869_002_53_56_e16	4220	1	236.97
bso_002_1869_002_57_60_e17	4143	1	241.37
bso_002_1869_002_5_8_e4	4549	1	219.83
bso_002_1869_002_93_96_e26	3852	1	259.61
bso_002_1870_003_113_116_e32	3984	1	251
bso_002_1870_003_117_120_e33	4054	1	246.67
bso_002_1870_003_121_124_e34	4473	1	223.56
bso_002_1870_003_137_140_e38	4477	1	223.36
bso_002_1870_003_177_182_e47	6620	2	302.11
bso_002_1870_003_183_186_e48	4865	1	205.55
bso_002_1870_003_187_190_e49	4366	1	229.04
bso_002_1870_003_25_28_e12	3947	1	253.36
bso_002_1870_003_33_36_e14	4254	1	235.07
bso_002_1870_003_37_40_e15	4377	2	456.93
bso_002_1870_003_45_48_e17	4402	1	227.17
bso_002_1870_003_5_8_e7	4441	1	225.17
bso_002_1870_003_65_70_e22	6601	1	151.49
bso_002_1870_003_81_88_e25	9543	1	104.79
btb_001_1857_006_129_166_e321	25249	1	39.61
btb_001_1857_006_202_226_e324	12774	1	78.28
btb_001_1857_006_85_128_e315	27695	1	36.11
btb_001_1860_009_85_146_e376	35582	1	28.1
btb_001_1862_011_301_328_e369	12972	1	77.09
btb_001_1863_012_301_344_e391	9482	1	105.46
btb_001_1864_013_369_381_e451	7219	1	138.52
btb_001_1864_013_382_425_e452	20531	1	48.71
btb_001_1864_013_426_429_e453	1414	1	707.21
btb_001_1867_016_348_386_e477	23326	1	42.87
btb_001_1868_017_254_363_e433	67274	2	29.73
btb_001_1869_018_344_386_e402	31031	1	32.23
btb_001_1870_019_250_292_e408	23114	1	43.26
dns_002_1805_001_240_297_e638	16520	3	181.6
dns_002_1805_001_330_342_e650	3469	1	288.27
dns_002_1805_001_371_376_e659	1456	1	686.81
dns_002_1805_001_466_489_e681	7276	7	962.07
dns_002_1805_001_46_94_e596	14026	1	71.3
dns_002_1805_001_526_547_e687	6293	2	317.81
dns_002_1805_001_98_124_e604	8339	4	479.67
dns_002_1806_002_122_141_e594	5260	1	190.11
dns_002_1806_002_142_156_e596	4369	1	228.89
dns_002_1806_002_172_192_e602	5802	2	344.71
dns_002_1806_002_225_286_e612	17651	3	169.96
dns_002_1806_002_287_318_e613	9588	1	104.3
dns_002_1806_002_334_346_e618	3272	3	916.87
dns_002_1806_002_365_382_e657	4775	3	628.27
dns_002_1806_002_399_417_e629	5225	1	191.39
dns_002_1806_002_3_68_e580	19168	1	52.17
dns_002_1806_002_418_449_e630	9050	4	441.99
dns_002_1806_002_449_461_e631	3667	2	545.4
dns_002_1806_002_487_558_e643	21448	1	46.62
dns_002_1806_002_68_77_e583	2662	1	375.66
dns_002_1807_003_121_154_e433	10206	2	195.96
dns_002_1807_003_195_205_e449	2829	2	706.96
dns_002_1807_003_205_253_e452	13595	2	147.11
dns_002_1807_003_254_271_e455	4844	1	206.44
dns_002_1807_003_271_288_e456	4989	2	400.88
dns_002_1807_003_296_305_e478	3153	1	317.16
dns_002_1807_003_33_55_e422	6699	1	149.28
dns_002_1808_004_210_242_e443	8993	1	111.2
dns_002_1808_004_330_351_e458	5794	2	345.18
dns_002_1808_004_351_355_e461	811	1	1233.05
dns_002_1808_004_362_379_e470	4647	1	215.19
dns_002_1808_004_379_387_e471	2154	1	464.25
dns_002_1809_005_119_152_e429	9233	5	541.54
dns_002_1809_005_153_170_e430	4746	4	842.82
dns_002_1809_005_212_221_e468	2602	1	384.32
dns_002_1809_005_222_255_e447	9481	5	527.37
dns_002_1809_005_308_398_e456	26184	7	267.34
