Number;Word;Freq 1;Freq 1 (per mill);Freq 2;Freq 2 (per mill);+/-;Stat 1.;Stat 2.
12816;Amtsª;521;5.31;109;1.28;+;2.05;236.48
12817;Scheitlin;564;5.74;118;1.39;+;2.05;255.99
12818;bungen;673;6.85;141;1.66;+;2.05;305.08
12819;zweiª;723;7.36;151;1.78;+;2.05;328.68
12820;Mahnung;988;10.06;207;2.44;+;2.05;447.86
12821;Schuª;1010;10.29;211;2.48;+;2.05;459.04
12822;Oberhasle;1313;13.37;275;3.24;+;2.05;595.37
12823;sterne;1334;13.58;279;3.29;+;2.05;605.68
12824;zusammengesetzten;1406;14.32;293;3.45;+;2.05;640.46
12825;Klaffe;1752;17.84;367;4.32;+;2.05;794.33
12826;ausgesetzt;2693;27.42;562;6.62;+;2.05;1225.14
12827;Begonnen;3654;37.21;764;9;+;2.05;1659.48
12828;Letztere;10351;105.41;2164;25.48;+;2.05;4701.64
12829;rede-;100;1.02;21;0.25;+;2.04;45.23
12830;Concerte;100;1.02;21;0.25;+;2.04;45.23
12831;Glattfelden;100;1.02;21;0.25;+;2.04;45.23
12832;Grm;100;1.02;21;0.25;+;2.04;45.23
12833;Splgcn;109;1.11;23;0.27;+;2.04;49.09
12834;versorgten;109;1.11;23;0.27;+;2.04;49.09
12835;Agatha;114;1.16;24;0.28;+;2.04;51.45
12836;zuheben;114;1.16;24;0.28;+;2.04;51.45
12837;Ucbcrtrag;114;1.16;24;0.28;+;2.04;51.45
12838;Evangelisten;119;1.21;25;0.29;+;2.04;53.81
12839;hegten;119;1.21;25;0.29;+;2.04;53.81
12840;Herreu;119;1.21;25;0.29;+;2.04;53.81
12841;niedrigere;119;1.21;25;0.29;+;2.04;53.81
12842;Brck;119;1.21;25;0.29;+;2.04;53.81
12843;Schl„gereien;128;1.3;27;0.32;+;2.04;57.66
12844;wachsendem;133;1.35;28;0.33;+;2.04;60.02
12845;Vergiámeinnicht;138;1.41;29;0.34;+;2.04;62.38
12846;priesterlichen;143;1.46;30;0.35;+;2.04;64.74
12847;Danket;143;1.46;30;0.35;+;2.04;64.74
